Category,Metric,Baseline (C0) mean,Neutral Persona Δ%,No-Politics Persona Δ%,Temp Low (0.3) Δ%,Temp High (0.9) Δ%,Budget Flat (s=1.5) Δ%,Budget Steep(s=3.5) Δ%,CPR Low (2:1) Δ%,CPR High (50:1) Δ%,Churn Low Δ%,Churn High Δ%
Activity,Posts / day,5.36,-1.9,+8.6,+12.3,-0.3,+80.1*,-2.9,+7.6,+58.4*,-17.4,+42.7*
Activity,Comments / day,2.47,-2.6,+9.8,+20.8,-0.8,+94.5*,+3.7,-26.7,+128.4*,-17.4,+47.5*
Activity,Posts / user,1.48,+3.8,+4.3,+15.5*,+0.8,+37.5*,+0.3,+7.0,+22.0*,+7.0,+9.5
Activity,Avg thread length,1.88,-1.1,+1.9,+7.6,+0.7,+8.2,+8.0,-22.3*,+64.6*,+7.7,+4.1
Activity,Daily active users,4.66,-1.5,+8.5,+6.9,+2.6,+52.2*,+1.7,+3.4,+42.3*,-16.9,+40.0*
Network,Density,0.261,+3.0,-19.1,-5.1,-7.7,-47.9,-1.5,+66.7*,-62.6*,+22.8,-27.2
Network,Avg clustering,0.0046,-55.6,-20.8,+300.8,+60.3,+174.0,-100.0,-100.0,+258.0,+50.0,+0.2
Network,Core %,24.22,+23.4,-11.4,-13.8,+11.1,-51.3*,+26.1,+75.2,-59.4*,+27.1,-1.4
Network,Core density,0.800,+0.0,-16.7,-16.7,-16.7,-4.2,+4.2,-8.3,-20.8,-25.1,-14.2
Network,Modularity,-0.072,-75.2,-96.7,-130.6,-81.9,+94.9,-113.6,-172.1,+30.5,-58.2,-71.6
Toxicity,Mean toxicity,0.459,-46.7*,-17.3,-0.3,+6.9,+11.6,+11.1,+2.0,+18.7,+9.8,+9.8
Toxicity,Toxicity p90,0.932,-10.7*,-2.9,+1.2,+2.5,+2.8,+2.0,+0.9,+2.5,+1.8,+2.0
Toxicity,Frac > 0.5,0.491,-51.5*,-23.8,-3.5,+4.8,+8.1,+8.9,-0.1,+18.5,+7.9,+9.8
Toxicity,Comment tox. mean,0.603,-26.2*,-2.6,+3.9,+1.0,+6.6,+8.6,+9.8,-0.1,+0.4,+5.8
Topic,Topic coverage,0.969,-1.0,+0.1,-2.3,+2.3,-0.5,+0.5,+3.2,-1.6,+3.2,+0.3
Topic,Mean cosine sim.,0.630,-2.4,-1.4,-1.8,-0.1,+0.3,-1.4,+2.8,-1.8,+2.0,-0.8
Topic,N topics,12.10,-2.5,+9.9,+10.7,-5.8,+75.2*,+3.3,+2.5,+49.6*,-23.1,+38.0*
Entropy,H / token,0.272,-1.2,-0.3,-1.1,-2.5,-2.8,-4.5*,-0.4,-5.5*,-1.3,-1.9
Entropy,Inter-thread H/T,0.267,-0.9,-0.2,-1.6,-3.2,-3.0,-4.8,-0.5,-5.0,+0.1,-1.5
Entropy,Intra-thread H/T,0.281,-1.8,-0.5,-0.1,-1.1,-2.3,-3.9*,+0.0,-6.2*,-3.6,-2.5
