label,n,n_tail,alpha,xmin,D,vs_lognormal_R,vs_lognormal_p,vs_exponential_R,vs_exponential_p,vs_truncated_pl_R,vs_truncated_pl_p,source
sim_run01,411,194,2.245,3.0,0.0995,-3.485,0.0005,-2.841,0.0045,-3.747,0.0,simulation
sim_run02,417,87,2.948,7.0,0.0844,-1.75,0.0802,-1.527,0.1269,-1.942,0.0038,simulation
sim_run03,380,244,1.996,2.0,0.0831,-3.702,0.0002,-1.214,0.2246,-4.249,0.0,simulation
sim_run04,400,250,1.969,2.0,0.0928,-3.853,0.0001,-1.451,0.1467,-4.354,0.0,simulation
sim_run05,406,263,2.02,2.0,0.0824,-3.248,0.0012,-0.292,0.7701,-3.908,0.0,simulation
sim_run06,442,264,1.967,2.0,0.0934,-4.033,0.0001,-2.162,0.0306,-4.646,0.0,simulation
sim_run07,397,266,1.974,2.0,0.1056,-4.555,0.0,-3.139,0.0017,-5.138,0.0,simulation
sim_run08,377,238,1.973,2.0,0.0839,-3.302,0.001,-0.74,0.4591,-4.007,0.0,simulation
sim_run09,419,272,1.985,2.0,0.096,-3.635,0.0003,-1.313,0.1891,-4.305,0.0,simulation
sim_run10,408,93,2.849,6.0,0.0699,-1.77,0.0768,-1.321,0.1864,-1.968,0.0035,simulation
sim_run11,394,119,2.494,5.0,0.0843,-2.392,0.0168,-1.699,0.0893,-2.656,0.0001,simulation
sim_run12,418,92,2.914,6.0,0.0763,-1.171,0.2416,0.279,0.7799,-1.234,0.0681,simulation
sim_run13,413,276,1.975,2.0,0.0908,-3.688,0.0002,-0.895,0.371,-4.274,0.0,simulation
sim_run14,443,278,1.964,2.0,0.0855,-4.062,0.0,-1.373,0.1699,-4.689,0.0,simulation
sim_run15,404,261,1.943,2.0,0.1068,-3.999,0.0001,-2.142,0.0322,-4.619,0.0,simulation
sim_run16,378,183,2.187,3.0,0.0979,-2.955,0.0031,-1.501,0.1334,-3.262,0.0,simulation
sim_run17,425,282,2.03,2.0,0.0776,-3.783,0.0002,-0.958,0.3383,-4.405,0.0,simulation
sim_run18,411,86,2.927,7.0,0.0638,-1.408,0.1593,-0.583,0.5598,-1.553,0.0192,simulation
sim_run19,394,271,1.988,2.0,0.0585,-3.32,0.0009,0.233,0.8154,-4.039,0.0,simulation
sim_run20,446,278,2.019,2.0,0.0637,-3.584,0.0003,-0.754,0.4511,-4.26,0.0,simulation
sim_run21,399,243,2.012,2.0,0.0742,-3.35,0.0008,-0.478,0.6326,-3.72,0.0,simulation
sim_run22,402,101,2.734,6.0,0.086,-1.642,0.1006,-0.67,0.5029,-1.796,0.0057,simulation
sim_run23,448,283,2.035,2.0,0.0665,-2.967,0.003,0.931,0.3517,-3.642,0.0,simulation
sim_run24,376,237,1.958,2.0,0.0928,-3.816,0.0001,-1.901,0.0573,-4.414,0.0,simulation
sim_run25,412,269,1.985,2.0,0.1123,-4.508,0.0,-3.684,0.0002,-5.15,0.0,simulation
sim_run26,399,188,2.203,3.0,0.0861,-2.633,0.0085,-0.57,0.5686,-3.085,0.0,simulation
sim_run27,393,260,1.991,2.0,0.0958,-4.249,0.0,-2.764,0.0057,-4.828,0.0,simulation
sim_run28,374,183,2.138,3.0,0.09,-3.404,0.0007,-2.39,0.0168,-3.789,0.0,simulation
sim_run29,408,181,2.243,3.0,0.0816,-2.677,0.0074,-0.865,0.3868,-3.073,0.0,simulation
sim_run30,408,268,1.985,2.0,0.081,-3.68,0.0002,-0.636,0.5247,-4.186,0.0,simulation
voat_uniform_01,729,729,2.156,1.0,0.0155,-0.984,0.325,3.741,0.0002,-1.136,0.0803,voat_uniform
voat_uniform_02,645,94,2.431,4.0,0.026,-0.227,0.8205,1.829,0.0675,-0.37,0.6686,voat_uniform
voat_uniform_03,720,284,2.26,2.0,0.0258,-0.684,0.4937,2.424,0.0153,-0.631,0.315,voat_uniform
