chain_id,seq_idx,id,user_id,parent_id,thread_id,chain_len,user_a,user_b
0,0,40,90,-1,40,3,90,46
0,1,43,46,40,40,3,90,46
0,2,56,90,43,40,3,90,46
1,0,40,90,-1,40,3,90,46
1,1,43,46,40,40,3,90,46
1,2,56,90,43,40,3,90,46
2,0,40,90,-1,40,3,90,46
2,1,43,46,40,40,3,90,46
2,2,56,90,43,40,3,90,46
3,0,51,46,-1,51,3,46,88
3,1,54,88,51,51,3,46,88
3,2,61,46,54,51,3,46,88
4,0,134,163,-1,134,4,163,10
4,1,138,10,134,134,4,163,10
4,2,172,163,138,134,4,163,10
4,3,215,10,172,134,4,163,10
5,0,134,163,-1,134,4,163,10
5,1,138,10,134,134,4,163,10
5,2,172,163,138,134,4,163,10
5,3,215,10,172,134,4,163,10
6,0,134,163,-1,134,4,163,10
6,1,138,10,134,134,4,163,10
6,2,172,163,138,134,4,163,10
6,3,215,10,172,134,4,163,10
7,0,134,163,-1,134,4,163,10
7,1,138,10,134,134,4,163,10
7,2,172,163,138,134,4,163,10
7,3,215,10,172,134,4,163,10
8,0,163,88,162,148,4,88,90
8,1,166,90,163,148,4,88,90
8,2,176,88,166,148,4,88,90
8,3,199,90,176,148,4,88,90
9,0,223,259,196,164,4,259,37
9,1,227,37,223,164,4,259,37
9,2,242,259,227,164,4,259,37
9,3,254,37,242,164,4,259,37
10,0,263,68,254,164,3,68,133
10,1,311,133,263,164,3,68,133
10,2,394,68,311,164,3,68,133
11,0,179,207,-1,179,3,207,102
11,1,180,102,179,179,3,207,102
11,2,218,207,180,179,3,207,102
12,0,192,68,-1,192,3,68,160
12,1,195,160,192,192,3,68,160
12,2,213,68,195,192,3,68,160
13,0,268,230,228,225,3,230,148
13,1,269,148,268,225,3,230,148
13,2,283,230,269,225,3,230,148
14,0,268,230,228,225,3,230,148
14,1,269,148,268,225,3,230,148
14,2,283,230,269,225,3,230,148
15,0,268,230,228,225,3,230,148
15,1,269,148,268,225,3,230,148
15,2,283,230,269,225,3,230,148
16,0,268,230,228,225,3,230,148
16,1,269,148,268,225,3,230,148
16,2,283,230,269,225,3,230,148
17,0,249,68,248,245,3,68,72
17,1,253,72,249,245,3,68,72
17,2,262,68,253,245,3,68,72
18,0,265,200,252,247,3,200,138
18,1,320,138,265,247,3,200,138
18,2,421,200,320,247,3,200,138
19,0,265,200,252,247,3,200,138
19,1,320,138,265,247,3,200,138
19,2,421,200,320,247,3,200,138
20,0,840,258,699,247,3,258,12
20,1,844,12,840,247,3,258,12
20,2,865,258,844,247,3,258,12
21,0,265,200,252,247,3,200,138
21,1,320,138,265,247,3,200,138
21,2,421,200,320,247,3,200,138
22,0,265,200,252,247,3,200,138
22,1,320,138,265,247,3,200,138
22,2,421,200,320,247,3,200,138
23,0,652,556,588,247,4,556,199
23,1,655,199,652,247,4,556,199
23,2,660,556,655,247,4,556,199
23,3,711,199,660,247,4,556,199
24,0,265,200,252,247,3,200,138
24,1,320,138,265,247,3,200,138
24,2,421,200,320,247,3,200,138
25,0,652,556,588,247,4,556,199
25,1,655,199,652,247,4,556,199
25,2,660,556,655,247,4,556,199
25,3,711,199,660,247,4,556,199
26,0,265,200,252,247,3,200,138
26,1,320,138,265,247,3,200,138
26,2,421,200,320,247,3,200,138
27,0,652,556,588,247,4,556,199
27,1,655,199,652,247,4,556,199
27,2,660,556,655,247,4,556,199
27,3,711,199,660,247,4,556,199
28,0,841,258,711,247,3,258,608
28,1,897,608,841,247,3,258,608
28,2,1053,258,897,247,3,258,608
29,0,265,200,252,247,3,200,138
29,1,320,138,265,247,3,200,138
29,2,421,200,320,247,3,200,138
30,0,652,556,588,247,4,556,199
30,1,655,199,652,247,4,556,199
30,2,660,556,655,247,4,556,199
30,3,711,199,660,247,4,556,199
31,0,841,258,711,247,3,258,608
31,1,897,608,841,247,3,258,608
31,2,1053,258,897,247,3,258,608
32,0,265,200,252,247,3,200,138
32,1,320,138,265,247,3,200,138
32,2,421,200,320,247,3,200,138
33,0,652,556,588,247,4,556,199
33,1,655,199,652,247,4,556,199
33,2,660,556,655,247,4,556,199
33,3,711,199,660,247,4,556,199
34,0,841,258,711,247,3,258,608
34,1,897,608,841,247,3,258,608
34,2,1053,258,897,247,3,258,608
35,0,265,200,252,247,3,200,138
35,1,320,138,265,247,3,200,138
35,2,421,200,320,247,3,200,138
36,0,652,556,588,247,4,556,199
36,1,655,199,652,247,4,556,199
36,2,660,556,655,247,4,556,199
36,3,711,199,660,247,4,556,199
37,0,841,258,711,247,3,258,608
37,1,897,608,841,247,3,258,608
37,2,1053,258,897,247,3,258,608
38,0,265,200,252,247,3,200,138
38,1,320,138,265,247,3,200,138
38,2,421,200,320,247,3,200,138
39,0,652,556,588,247,4,556,199
39,1,655,199,652,247,4,556,199
39,2,660,556,655,247,4,556,199
39,3,711,199,660,247,4,556,199
40,0,841,258,711,247,3,258,608
40,1,897,608,841,247,3,258,608
40,2,1053,258,897,247,3,258,608
41,0,265,200,252,247,3,200,138
41,1,320,138,265,247,3,200,138
41,2,421,200,320,247,3,200,138
42,0,652,556,588,247,4,556,199
42,1,655,199,652,247,4,556,199
42,2,660,556,655,247,4,556,199
42,3,711,199,660,247,4,556,199
43,0,841,258,711,247,3,258,608
43,1,897,608,841,247,3,258,608
43,2,1053,258,897,247,3,258,608
44,0,265,200,252,247,3,200,138
44,1,320,138,265,247,3,200,138
44,2,421,200,320,247,3,200,138
45,0,652,556,588,247,4,556,199
45,1,655,199,652,247,4,556,199
45,2,660,556,655,247,4,556,199
45,3,711,199,660,247,4,556,199
46,0,841,258,711,247,3,258,608
46,1,897,608,841,247,3,258,608
46,2,1053,258,897,247,3,258,608
47,0,265,200,252,247,3,200,138
47,1,320,138,265,247,3,200,138
47,2,421,200,320,247,3,200,138
48,0,652,556,588,247,4,556,199
48,1,655,199,652,247,4,556,199
48,2,660,556,655,247,4,556,199
48,3,711,199,660,247,4,556,199
49,0,841,258,711,247,3,258,608
49,1,897,608,841,247,3,258,608
49,2,951,258,897,247,3,258,608
50,0,265,200,252,247,3,200,138
50,1,320,138,265,247,3,200,138
50,2,421,200,320,247,3,200,138
51,0,652,556,588,247,4,556,199
51,1,655,199,652,247,4,556,199
51,2,660,556,655,247,4,556,199
51,3,711,199,660,247,4,556,199
52,0,265,200,252,247,3,200,138
52,1,320,138,265,247,3,200,138
52,2,421,200,320,247,3,200,138
53,0,652,556,588,247,4,556,199
53,1,655,199,652,247,4,556,199
53,2,660,556,655,247,4,556,199
53,3,711,199,660,247,4,556,199
54,0,897,608,841,247,3,608,576
54,1,901,576,897,247,3,608,576
54,2,964,608,901,247,3,608,576
55,0,265,200,252,247,3,200,138
55,1,320,138,265,247,3,200,138
55,2,421,200,320,247,3,200,138
56,0,652,556,588,247,4,556,199
56,1,655,199,652,247,4,556,199
56,2,660,556,655,247,4,556,199
56,3,711,199,660,247,4,556,199
57,0,897,608,841,247,3,608,576
57,1,901,576,897,247,3,608,576
57,2,964,608,901,247,3,608,576
58,0,1364,384,1273,247,4,384,655
58,1,1365,655,1364,247,4,384,655
58,2,1584,384,1365,247,4,384,655
58,3,1669,655,1584,247,4,384,655
59,0,265,200,252,247,3,200,138
59,1,320,138,265,247,3,200,138
59,2,421,200,320,247,3,200,138
60,0,652,556,588,247,4,556,199
60,1,655,199,652,247,4,556,199
60,2,660,556,655,247,4,556,199
60,3,711,199,660,247,4,556,199
61,0,897,608,841,247,3,608,576
61,1,901,576,897,247,3,608,576
61,2,964,608,901,247,3,608,576
62,0,1365,655,1364,247,3,655,456
62,1,1366,456,1365,247,3,655,456
62,2,1559,655,1366,247,3,655,456
63,0,265,200,252,247,3,200,138
63,1,320,138,265,247,3,200,138
63,2,421,200,320,247,3,200,138
64,0,652,556,588,247,4,556,199
64,1,655,199,652,247,4,556,199
64,2,660,556,655,247,4,556,199
64,3,711,199,660,247,4,556,199
65,0,897,608,841,247,3,608,576
65,1,901,576,897,247,3,608,576
65,2,964,608,901,247,3,608,576
66,0,1369,1057,1366,247,3,1057,359
66,1,1370,359,1369,247,3,1057,359
66,2,1446,1057,1370,247,3,1057,359
67,0,265,200,252,247,3,200,138
67,1,320,138,265,247,3,200,138
67,2,421,200,320,247,3,200,138
68,0,652,556,588,247,3,556,199
68,1,655,199,652,247,3,556,199
68,2,660,556,655,247,3,556,199
69,0,660,556,655,247,3,556,258
69,1,665,258,660,247,3,556,258
69,2,757,556,665,247,3,556,258
70,0,265,200,252,247,3,200,138
70,1,320,138,265,247,3,200,138
