chain_id,thread_id,user_a,user_b,i_idx,j_idx,lag,id_x,id_y,user_x,user_y,pair_type,tokens_x,tokens_y,H,H_per_token,sigma,model,max_tokens
0,40,90,46,0,1,1,40,43,90,46,interpersonal,254,237,53.912121,0.212252,0.3,bert-base-uncased,256
0,40,90,46,0,2,2,40,56,90,90,intrapersonal,254,105,74.367912,0.292787,0.3,bert-base-uncased,256
0,40,90,46,1,2,1,43,56,46,90,interpersonal,237,105,66.693954,0.281409,0.3,bert-base-uncased,256
1,40,90,46,0,1,1,40,43,90,46,interpersonal,254,237,53.912121,0.212252,0.3,bert-base-uncased,256
1,40,90,46,0,2,2,40,56,90,90,intrapersonal,254,105,74.367912,0.292787,0.3,bert-base-uncased,256
1,40,90,46,1,2,1,43,56,46,90,interpersonal,237,105,66.693954,0.281409,0.3,bert-base-uncased,256
2,40,90,46,0,1,1,40,43,90,46,interpersonal,254,237,53.912121,0.212252,0.3,bert-base-uncased,256
2,40,90,46,0,2,2,40,56,90,90,intrapersonal,254,105,74.367912,0.292787,0.3,bert-base-uncased,256
2,40,90,46,1,2,1,43,56,46,90,interpersonal,237,105,66.693954,0.281409,0.3,bert-base-uncased,256
3,51,46,88,0,1,1,51,54,46,88,interpersonal,254,254,59.834995,0.235571,0.3,bert-base-uncased,256
3,51,46,88,0,2,2,51,61,46,46,intrapersonal,254,107,75.186127,0.296008,0.3,bert-base-uncased,256
3,51,46,88,1,2,1,54,61,88,46,interpersonal,254,107,75.441711,0.297015,0.3,bert-base-uncased,256
4,134,163,10,0,1,1,134,138,163,10,interpersonal,254,254,65.331787,0.257212,0.3,bert-base-uncased,256
4,134,163,10,0,2,2,134,172,163,163,intrapersonal,254,90,78.648926,0.309641,0.3,bert-base-uncased,256
4,134,163,10,0,3,3,134,215,163,10,interpersonal,254,115,76.527596,0.301290,0.3,bert-base-uncased,256
4,134,163,10,1,2,1,138,172,10,163,interpersonal,254,90,71.117554,0.279990,0.3,bert-base-uncased,256
4,134,163,10,1,3,2,138,215,10,10,intrapersonal,254,115,70.514275,0.277615,0.3,bert-base-uncased,256
