day,mean_reputation,median_reputation,total_reputation
8,2.0,2.0,2.0
9,2.583208286430971,2.0,10.332833145723884
10,2.953370126887954,1.9795945522376157,14.76685063443977
11,3.159622392203677,1.9787189491643993,18.95773435322206
12,3.54618134912547,1.9564290931303612,21.27708809475282
13,3.2889097214465175,1.956785201415346,23.02236805012562
14,2.872947916959208,1.9897560147911493,28.729479169592082
15,2.596884512474745,1.9798008950008974,36.35638317464643
16,2.794455345134233,1.9685109296588932,44.711285522147726
17,2.770285627232571,2.0,66.4868550535817
18,2.798218676503333,1.9790582168957773,78.35012294209332
19,2.889823640560323,1.9585806418376244,92.47435649793033
20,3.0074497795198054,1.9459546236819025,102.25329250367338
21,2.8976893072940904,1.9448157995231623,121.70295090635179
22,3.0551071440104383,1.9314185470828689,143.5900357684906
23,3.2907714832034656,1.957764328422535,174.41088860978368
24,3.344159892821111,1.9899210704227788,220.71455292619333
25,3.698000756623322,1.9898385391665845,288.4440590166191
26,3.894507586955572,2.0,350.5056828260015
27,3.90255401114219,2.0,394.1579551253612
28,3.8514130973890213,2.0,435.2096800049594
29,3.7435451658263372,2.0,497.89150705490283
30,3.7001913764708156,2.0,543.9281323412099
31,3.7067217424430248,2.0,656.0897484124154
32,3.91461241085701,2.0,786.837094582259
33,4.105044439023582,2.0,940.0551765364003
34,4.224135035991663,2.0,1144.7405947537409
35,4.364535210999172,2.0,1331.1832393547475
36,4.569179445903978,2.485158625341306,1590.0744471745843
37,4.744134219499131,3.2745410937232475,1835.9799429461636
38,4.67569848537981,3.066064563993351,1846.9009017250248
