Dataset,User_ID,Degree,Weighted_Degree,Is_Core,Core_Label
Simulation2,199,36,5.799999999999998,True,0
Simulation2,556,26,4.000000000000002,True,0
Simulation2,90,16,3.000000000000001,True,0
Simulation2,68,20,2.5,True,0
Simulation2,258,17,2.3000000000000007,True,0
Simulation2,10,13,2.1,True,0
Simulation2,554,15,1.9000000000000004,True,0
Simulation2,814,15,1.8000000000000005,True,0
Simulation2,236,8,1.8,True,0
Simulation2,497,10,1.7000000000000004,True,0
Simulation2,227,12,1.7000000000000002,True,0
Simulation2,339,11,1.4,True,0
Simulation2,579,4,1.3000000000000005,False,1
Simulation2,375,10,1.3,True,0
Simulation2,389,8,1.3,True,0
Simulation2,130,10,1.3,True,0
Simulation2,594,8,1.2000000000000004,True,0
Simulation2,109,10,1.2000000000000002,True,0
Simulation2,325,10,1.2000000000000002,True,0
Simulation2,636,10,1.2,True,0
Simulation2,163,6,1.2,False,1
Simulation2,531,7,1.1000000000000003,False,1
Simulation2,384,7,1.1,False,1
Simulation2,208,10,1.1,True,0
Simulation2,129,7,1.0000000000000002,False,1
Simulation2,88,7,1.0,False,1
Simulation2,1082,5,1.0,False,1
Simulation2,37,8,1.0,True,0
Simulation2,545,8,1.0,False,1
Simulation2,232,8,1.0,False,1
Simulation2,257,7,0.9,False,1
Simulation2,576,7,0.9,False,1
Simulation2,185,4,0.8999999999999999,False,1
Simulation2,110,9,0.8999999999999999,True,0
Simulation2,608,6,0.8999999999999999,False,1
Simulation2,655,6,0.8999999999999999,False,1
Simulation2,224,7,0.8999999999999999,False,1
Simulation2,57,9,0.8999999999999999,True,0
Simulation2,348,6,0.8999999999999999,False,1
Simulation2,176,6,0.8999999999999999,False,1
Simulation2,734,7,0.7999999999999999,False,1
Simulation2,318,7,0.7999999999999999,False,1
Simulation2,266,8,0.7999999999999999,True,0
Simulation2,599,6,0.7999999999999999,False,1
Simulation2,66,7,0.7999999999999999,False,1
Simulation2,65,8,0.7999999999999999,True,0
Simulation2,298,8,0.7999999999999999,True,0
Simulation2,200,4,0.7000000000000001,False,1
Simulation2,40,7,0.7,False,1
Simulation2,35,7,0.7,False,1
Simulation2,359,5,0.7,False,1
Simulation2,12,6,0.7,False,1
Simulation2,846,5,0.7,False,1
Simulation2,805,5,0.7,False,1
Simulation2,74,7,0.7,False,1
Simulation2,63,7,0.7,False,1
Simulation2,243,5,0.7,False,1
Simulation2,164,7,0.7,False,1
Simulation2,134,6,0.7,False,1
Simulation2,559,5,0.7,False,1
Simulation2,420,4,0.6000000000000001,False,1
Simulation2,391,4,0.6000000000000001,False,1
Simulation2,521,5,0.6,False,1
Simulation2,604,6,0.6,False,1
Simulation2,360,5,0.6,False,1
Simulation2,45,5,0.6,False,1
Simulation2,572,6,0.6,False,1
Simulation2,193,5,0.6,False,1
Simulation2,46,4,0.6,False,1
Simulation2,49,6,0.6,False,1
Simulation2,364,6,0.6,False,1
Simulation2,148,5,0.6,False,1
Simulation2,230,5,0.6,False,1
Simulation2,371,6,0.6,False,1
Simulation2,72,5,0.6,False,1
